Word	Case	Animacy	Gender	Person	Number	Voice	syntax	Degree	Aspect	Foreign	VerbForm	Variant	Polarity	Tense	Mood
авторитет	0.018520619034962715	0.0	0.0	0.0	0.004282485180738482	0.0	0.02815558866776846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
амбиция	0.02962421244396507	0.0	0.0	0.0	0.20039677684381985	0.0	0.008114010971621122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
апостол	0.0266059680544819	0.032499584979838625	0.0	0.0	1.469556464739341e-06	0.0	0.05938728993845965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
благодарность	0.014971571488978985	0.0	0.0	0.0	0.0	0.0	0.005878413144537631	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
блин	0.005415940221771609	5.518002463733573e-06	4.2994588874689654e-06	0.0	0.009213961294878503	0.0	0.009019889232750433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
блондин	0.00017402985852410513	0.0005372205628226823	0.0	0.0	7.681728696362633e-06	0.0	0.03889442390806286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
брат	0.0004525019903750538	1.2482185350881636e-06	0.0	0.03126967713483941	0.006842153719572974	0.3063583129341294	0.004459306781734229	0.0	0.0072267796802477635	0.0	0.3063583129341294	0.0	0.0	0.25009057187916595	0.0
бригада	0.010832936352498268	0.0	0.0004871985175538551	0.0	0.009424667929096797	0.0	0.04569031736576301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
веер	0.008999142433914753	6.379642036924427e-05	0.0	0.0	0.0005270251360711686	0.0	0.014630026829749898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
век	0.013805735723752766	0.0	0.0	0.0	0.0035313416118931684	0.0	0.012036716049092067	0.0	0.0	0.0	0.5249716742670648	0.0	0.0	0.0	0.0
вызов	0.027321444625023394	0.0	0.0	0.3753049524455757	0.00025403586725858407	0.0	0.0041713500416334925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
головка	0.007420012912299545	0.0	0.0	0.0	0.0006247551239202398	0.0	0.011591447677049782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
грех	0.0006244372943872145	0.0	0.0	0.0	8.93073192687055e-06	0.0	0.001101824693146014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
дух	0.007715958963607883	0.0011358625875746986	0.0	0.0	0.00032136580366282086	0.0	0.0028151517892767153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
дядька	0.030676461561729096	0.0062819171637559235	0.008107486614177484	0.0	7.89957603624103e-05	0.0	0.08127493476609393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
дядя	0.010955723972445042	0.0005916266227813383	0.0006791416308156162	0.057820049391047124	0.0	0.0	0.01685264790579033	0.0	0.003924096806489752	0.0	0.00028590434690523026	0.0	0.0	0.003662017162624487	0.0027637424869377814
